,ID,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice
5627,001003-00-0374,C09,C16,C05,C02,C13,C01,C06,C03,C15,C11,C10,C14,,,,
5628,001003-00-0398,C09,C11,C07,C02,C13,C06,C01,C05,C12,C03,C15,C14,C16,,,
5629,001003-00-0404,C09,C11,C13,C03,C01,C05,C02,C06,C10,C16,C15,C14,C04,C07,C08,C12
5630,001003-00-0414,C09,C11,C13,C03,C01,,,,,,,,,,,
5631,001003-00-0472,C09,C01,C11,,,,,,,,,,,,,
5632,001003-00-0474,C09,C01,C11,,,,,,,,,,,,,
5633,001003-00-0520,C09,C05,C13,C12,C02,,,,,,,,,,,
5634,001003-00-0527,C09,C12,C01,C13,C02,C05,C04,C16,,,,,,,,
5635,001003-00-0530,C09,C01,C02,C12,C13,,,,,,,,,,,
5636,001003-00-0554,C09,C16,C01,C03,,,,,,,,,,,,
5637,001003-00-0571,C09,C05,C02,C01,C08,,,,,,,,,,,
5638,001003-00-0582,C09,C01,C16,,,,,,,,,,,,,
5639,001003-00-0605,C09,C11,C13,C01,C02,C04,C08,C07,C16,C10,C12,C14,,,,
5640,001003-00-0624,C09,C05,C13,C12,C02,,,,,,,,,,,
5641,001003-00-0674,C09,C02,C01,C11,C12,,,,,,,,,,,
5642,001003-00-0690,C09,C06,C16,,,,,,,,,,,,,
5643,001003-00-0705,C09,C11,C02,,,,,,,,,,,,,
5644,001003-00-0717,C09,,,,,,,,,,,,,,,
5645,001003-00-0726,C09,C12,C01,C16,C06,C11,C02,C14,C15,C08,C13,C10,C05,C04,,
5646,001003-00-0732,C09,C06,C01,C02,C12,C11,C07,C15,C13,,,,,,,
5647,001003-00-0752,C09,C01,C13,C05,,,,,,,,,,,,
5648,001003-00-0789,C09,C07,C16,C05,C13,C14,C06,C15,C04,C02,,,,,,
5649,001001-00-0022,C09,C02,C05,,,,,,,,,,,,,
5650,001001-00-0070,C09,C11,,,,,,,,,,,,,,
5651,001001-00-0096,C09,C02,C14,C01,C03,C13,C15,,,,,,,,,
5652,001001-00-0101,C09,C05,C12,C02,C13,C06,C16,C01,C04,,,,,,,
5653,001001-00-0109,C09,C16,C05,,,,,,,,,,,,,
5654,001001-00-0164,C09,C05,C03,,,,,,,,,,,,,
5655,001001-00-0168,C09,,,,,,,,,,,,,,,
5656,001001-00-0175,C09,C01,C16,C05,C15,C02,C11,C13,C04,C12,,,,,,
5657,001001-00-0179,C09,C01,C02,,,,,,,,,,,,,
5658,001001-00-0200,C09,C02,C12,C16,C04,C13,C05,,,,,,,,,
5659,001001-00-0218,C09,C12,C07,,,,,,,,,,,,,
5660,001001-00-0239,C09,C02,C01,C06,C11,,,,,,,,,,,
5661,001001-00-0263,C09,C16,,,,,,,,,,,,,,
5662,001001-00-0285,C09,,,,,,,,,,,,,,,
5663,001001-00-0313,C09,C05,C01,C04,C16,C13,C12,,,,,,,,,
5664,001001-00-0324,C09,C01,C13,,,,,,,,,,,,,
5665,001001-00-0396,C09,C01,C12,C02,C05,,,,,,,,,,,
5666,001001-00-0407,C09,C12,C06,C01,C16,C15,C14,C11,C13,,,,,,,
5667,001001-00-0559,C09,C05,C01,C13,C04,C02,C16,,,,,,,,,
5668,001001-00-0561,C09,C05,C01,C13,C04,C02,C16,,,,,,,,,
5669,001001-00-0568,C09,,,,,,,,,,,,,,,
5670,001001-00-0571,C09,C01,C12,C05,,,,,,,,,,,,
5671,001001-00-0588,C09,C12,C05,C02,C15,C13,C06,,,,,,,,,
5672,001001-00-0667,C09,C12,C13,C01,C02,C11,,,,,,,,,,
5673,001001-00-0668,C09,,,,,,,,,,,,,,,
5674,001001-00-0670,C09,,,,,,,,,,,,,,,
5675,001001-00-0680,C09,C16,C12,C01,,,,,,,,,,,,
5676,001001-00-0716,C09,C12,C05,C02,C01,C06,,,,,,,,,,
5677,001001-00-0718,C09,C01,C06,C04,,,,,,,,,,,,
5678,001001-00-0720,C09,C12,C05,C02,C01,C11,C04,C14,C15,C06,,,,,,
5679,001001-00-0750,C09,C05,C06,C12,C02,,,,,,,,,,,
5680,001001-00-0791,C09,C05,C13,C01,,,,,,,,,,,,
5681,001001-00-0804,C09,C16,C11,C04,C05,C12,C13,C14,C06,C15,,,,,,
5682,001001-00-0806,C09,C13,C05,C01,C12,C04,C16,C02,,,,,,,,
5683,001001-00-0892,C09,C12,C02,C05,C08,C15,C11,C06,,,,,,,,
5684,001001-00-0918,C09,C05,C01,C04,,,,,,,,,,,,
5685,001001-00-0945,C09,,,,,,,,,,,,,,,
5686,001001-00-0993,C09,C06,C01,C02,C12,,,,,,,,,,,
5687,001001-00-0995,C09,C06,C01,C02,C12,,,,,,,,,,,
5688,001001-00-1002,C09,C05,C12,C06,C15,C01,C02,C13,C14,C04,C11,C16,,,,
5689,001001-00-1011,C09,C10,C05,C07,C16,C04,C08,C13,C15,,,,,,,
5690,001001-00-1024,C09,C12,C16,C05,C02,C13,C01,C04,,,,,,,,
5691,001001-00-1037,C09,C06,C01,C02,C13,C11,,,,,,,,,,
5692,001001-00-1054,C09,C02,C12,C11,C16,C15,C05,C08,,,,,,,,
5693,001001-00-1128,C09,C12,C05,,,,,,,,,,,,,
5694,001001-00-1131,C09,C01,C02,C11,,,,,,,,,,,,
5695,001001-00-1143,C09,C05,C11,C13,C01,C10,C02,C06,,,,,,,,
5696,001001-00-1147,C09,C02,C01,C11,C16,C12,,,,,,,,,,
5697,001001-00-1164,C09,C13,C05,C01,C12,C04,C16,C02,,,,,,,,
5698,001001-00-1166,C09,C11,,,,,,,,,,,,,,
5699,001001-00-1186,C09,C02,C13,C12,C08,C10,C01,,,,,,,,,
5700,001001-00-1219,C09,C13,C16,C01,C12,,,,,,,,,,,
5701,001001-00-0013,C09,C13,C01,C12,C06,,,,,,,,,,,
5702,000903-00-0017,C09,C05,C02,C01,C13,,,,,,,,,,,
5703,000903-00-0037,C09,C01,C02,C13,C06,C12,C07,C14,,,,,,,,
5704,000903-00-0047,C09,C11,C02,,,,,,,,,,,,,
5705,000903-00-0048,C09,C11,C02,,,,,,,,,,,,,
5706,000903-00-0076,C09,C06,C12,,,,,,,,,,,,,
5707,000903-00-0078,C09,C12,C05,,,,,,,,,,,,,
5708,000903-00-0081,C09,C01,C12,C02,C13,,,,,,,,,,,
5709,000903-00-0084,C09,C01,C05,C12,C02,C13,C15,C04,,,,,,,,
5710,000903-00-0086,C09,C01,C13,C06,,,,,,,,,,,,
5711,000903-00-0121,C09,C01,C02,C13,C10,,,,,,,,,,,
5712,000903-00-0137,C09,C14,,,,,,,,,,,,,,
5713,000903-00-0139,C09,C03,C06,,,,,,,,,,,,,
5714,000903-00-0146,C09,C01,C05,,,,,,,,,,,,,
5715,000903-00-0148,C09,C01,C05,C12,C06,C04,,,,,,,,,,
5716,000903-00-0174,C09,C01,,,,,,,,,,,,,,
5717,000903-00-0189,C09,,,,,,,,,,,,,,,
5718,000903-00-0216,C09,C02,C06,C01,C13,C05,,,,,,,,,,
5719,000903-00-0247,C09,C12,C06,C01,C02,C04,,,,,,,,,,
5720,000903-00-0258,C09,C01,C02,C06,,,,,,,,,,,,
5721,000903-00-0262,C09,C06,,,,,,,,,,,,,,
5722,000903-00-0297,C09,C01,C06,C02,,,,,,,,,,,,
5723,000903-00-0310,C09,C06,C01,C03,C13,C11,,,,,,,,,,
5724,000903-00-0312,C09,C12,C13,,,,,,,,,,,,,
5725,000903-00-0313,C09,C01,C06,,,,,,,,,,,,,
5726,000903-00-0321,C09,C06,C01,C13,C14,C02,C12,,,,,,,,,
5727,000903-00-0346,C09,C05,C03,,,,,,,,,,,,,
5728,000903-00-0352,C09,C05,C04,C13,C01,C12,C06,C14,C10,C11,C15,,,,,
5729,000903-00-0355,C09,,,,,,,,,,,,,,,
5730,000903-00-0403,C09,C02,,,,,,,,,,,,,,
5731,000903-00-0408,C09,C01,C02,C12,,,,,,,,,,,,
5732,000903-00-0467,C09,C06,,,,,,,,,,,,,,
5733,000903-00-0484,C09,C03,C14,,,,,,,,,,,,,
5734,000903-00-0503,C09,C06,C13,C15,C16,,,,,,,,,,,
5735,000903-00-0590,C09,C02,C14,,,,,,,,,,,,,
5736,000903-00-0634,C09,C01,,,,,,,,,,,,,,
5737,000903-00-0636,C09,C14,C01,C04,C16,,,,,,,,,,,
5738,000903-00-0638,C09,C16,C02,C13,C01,C12,C04,C05,,,,,,,,
5739,000903-00-0682,C09,C02,C11,C01,,,,,,,,,,,,
5740,000903-00-0692,C09,C01,,,,,,,,,,,,,,
5741,000903-00-0702,C09,C01,,,,,,,,,,,,,,
5742,000903-00-0706,C09,C01,C02,C13,,,,,,,,,,,,
5743,000903-00-0721,C09,C14,C01,C03,C15,C16,C02,C04,C05,C06,C07,C08,C10,C11,C12,C13
5744,000903-00-0751,C09,C02,C01,C12,C06,C14,C05,C13,C10,,,,,,,
5745,000903-00-0755,C09,C02,C11,C05,C06,C13,C15,C01,C16,C14,,,,,,
5746,000903-00-0786,C09,C05,C15,C06,C08,C02,C03,C13,C11,C10,C14,C16,C01,C04,C07,
5747,000903-00-0795,C09,C16,C13,C02,C01,C12,,,,,,,,,,
5748,000903-00-0859,C09,C03,C10,,,,,,,,,,,,,
5749,000903-00-0862,C09,C01,C02,C15,,,,,,,,,,,,
5750,000903-00-0873,C09,C02,C01,C06,C12,,,,,,,,,,,
5751,000903-00-0889,C09,C01,C02,C10,C06,,,,,,,,,,,
5752,000903-00-0899,C09,C03,C02,C13,,,,,,,,,,,,
5753,000903-00-0947,C09,C02,C05,C15,C12,C01,,,,,,,,,,
5754,000903-00-0966,C09,C02,C06,C14,C15,C01,,,,,,,,,,
5755,000903-00-0984,C09,C02,C01,,,,,,,,,,,,,
5756,000903-00-0985,C09,C01,C03,,,,,,,,,,,,,
5757,000903-00-0987,C09,C11,C01,C03,C06,,,,,,,,,,,
5758,000903-00-1003,C09,C13,C01,C12,,,,,,,,,,,,
5759,000903-00-1007,C09,C06,C12,C15,C03,C14,,,,,,,,,,
5760,000903-00-1044,C09,,,,,,,,,,,,,,,
5761,000903-00-1068,C09,C15,C01,C16,C04,C05,C14,C12,C06,C13,C02,C07,C08,C11,C10,
5762,000903-00-1169,C09,C01,C02,C15,,,,,,,,,,,,
5763,000903-00-1194,C09,C03,C02,C01,,,,,,,,,,,,
5764,000903-00-1197,C09,C02,C01,,,,,,,,,,,,,
5765,000903-00-1204,C09,C02,C01,C11,C06,C03,,,,,,,,,,
5766,000903-00-1222,C09,C01,C13,C12,,,,,,,,,,,,
5767,000903-00-1235,C09,C14,C06,C10,C15,C11,C02,C13,,,,,,,,
5768,000903-00-1244,C09,C12,C03,C06,,,,,,,,,,,,
5769,000903-00-1258,C09,C01,C06,C15,C05,C13,C12,,,,,,,,,
5770,000903-00-1270,C09,C14,C15,C13,C11,C12,C10,C07,C06,C05,C04,C02,C01,C16,,
5771,000303-00-0053,C09,C12,C02,C01,C13,C05,C06,C15,C07,,,,,,,
5772,000303-00-0142,C09,C04,C01,C13,C14,C05,C12,,,,,,,,,
5773,000303-00-0218,C09,C12,C01,C13,C02,C05,C16,C15,,,,,,,,
5774,000303-00-0220,C09,C02,C13,C01,C05,C12,C16,C15,C04,,,,,,,
5775,000303-00-0225,C09,C12,C01,C16,C05,C02,C04,C13,C11,,,,,,,
5776,000303-00-0232,C09,C13,C02,C05,C01,C16,C12,C04,C11,,,,,,,
5777,000303-00-0259,C09,C04,C05,C12,,,,,,,,,,,,
5778,000303-00-0370,C09,C11,C12,C01,C03,C05,,,,,,,,,,
5779,000303-00-0372,C09,C16,C01,C12,C02,C06,C13,,,,,,,,,
5780,000303-00-0387,C09,C02,C01,C12,C13,C15,C11,C05,C06,C16,C14,C07,C08,C04,C10,C03
5781,000303-00-0393,C09,C04,C05,C12,C11,C01,C02,C16,C13,,,,,,,
5782,000303-00-0414,C09,C06,C13,C15,C02,C01,C14,C11,C16,,,,,,,
5783,000303-00-0484,C09,C04,C05,,,,,,,,,,,,,
5784,000803-00-0002,C09,C13,C06,C01,C12,C16,C04,C15,C11,C02,C05,C07,C14,,,
5785,000803-00-0003,C09,C13,C01,,,,,,,,,,,,,
5786,000803-00-0011,C09,C05,C04,C12,C16,C08,C07,C11,C02,C03,C15,C14,C06,C10,C13,C01
5787,000803-00-0022,C09,C12,C13,,,,,,,,,,,,,
5788,000803-00-0055,C09,C13,C01,C16,,,,,,,,,,,,
5789,000803-00-0058,C09,C05,C12,C11,C01,C02,C13,C16,C06,C07,,,,,,
5790,000803-00-0065,C09,C02,C05,,,,,,,,,,,,,
5791,000803-00-0067,C09,C05,C12,C11,C01,C02,C13,C16,C04,,,,,,,
5792,000803-00-0079,C09,C12,C06,,,,,,,,,,,,,
5793,000803-00-0081,C09,C12,C11,,,,,,,,,,,,,
5794,000803-00-0085,C09,C01,C03,,,,,,,,,,,,,
5795,000201-00-0165,C09,C11,C13,,,,,,,,,,,,,
5796,000201-00-0226,C09,C11,C12,C02,,,,,,,,,,,,
5797,000201-00-0346,C09,C11,C13,C15,C16,C02,C04,C05,C06,,,,,,,
5798,000201-00-0351,C09,C15,C02,,,,,,,,,,,,,
5799,000201-00-0445,C09,C12,C16,C06,C05,C04,C13,C01,,,,,,,,
5800,000201-00-0458,C09,,,,,,,,,,,,,,,
5801,000201-00-0473,C09,C01,C06,,,,,,,,,,,,,
5802,000201-00-0531,C09,C13,C12,C07,C11,C03,C02,C15,C14,,,,,,,
5803,000201-00-0532,C09,,,,,,,,,,,,,,,
5804,000201-00-0640,C09,C12,C13,C02,C06,C01,C11,C15,,,,,,,,
5805,000201-00-0704,C09,C07,C12,C04,C16,C10,C06,C08,C14,C05,C15,C01,C02,C13,C11,C03
5806,000601-00-0007,C09,C12,C01,,,,,,,,,,,,,
5807,000601-00-0028,C09,C04,C11,C01,C02,C03,C12,C13,C16,C05,,,,,,
5808,000601-00-0055,C09,C01,C05,C16,C12,C04,,,,,,,,,,
5809,000601-00-0105,C09,C12,C02,C15,C13,,,,,,,,,,,
5810,000601-00-0173,C09,C02,C12,C01,,,,,,,,,,,,
5811,000601-00-0175,C09,C02,C12,C03,C01,,,,,,,,,,,
5812,000601-00-0180,C09,C06,C05,C02,C14,C01,,,,,,,,,,
5813,000601-00-0269,C09,C13,C01,C02,C15,C03,,,,,,,,,,
5814,000601-00-0291,C09,C05,C01,C12,C13,C02,C15,C16,C06,C11,C04,,,,,
5815,000601-00-0295,C09,C12,C15,C02,C06,C01,C13,C14,C04,C03,C11,C07,C08,,,
5816,000601-00-0307,C09,,,,,,,,,,,,,,,
5817,000601-00-0348,C09,C14,C01,C02,C13,,,,,,,,,,,
5818,000601-00-0357,C09,C05,C13,C01,C02,C04,C16,C12,C08,,,,,,,
5819,000601-00-0396,C09,C12,C05,C01,C13,C02,C04,C08,C16,,,,,,,
5820,000601-00-0526,C09,C12,C05,C01,C13,C02,C04,C07,C16,,,,,,,
5821,000601-00-0528,C09,C05,C13,C12,C01,C16,C15,WI0,,,,,,,,
5822,000601-00-0567,C09,C05,C12,,,,,,,,,,,,,
5823,000601-00-0582,C09,C13,C02,,,,,,,,,,,,,
5824,000601-00-0598,C09,C12,C04,C05,C15,C01,,,,,,,,,,
5825,000601-00-0601,C09,C12,C04,C01,C13,C15,C05,C16,C02,,,,,,,
5826,000601-00-0671,C09,C05,C01,C13,C02,,,,,,,,,,,
5827,000601-00-0681,C09,C01,C13,,,,,,,,,,,,,
5828,000601-00-0693,C09,C07,C11,C16,C13,C14,C08,C10,C06,C01,C12,,,,,
5829,000601-00-0712,C09,C02,C11,C01,C16,,,,,,,,,,,
5830,000601-00-0714,C09,C02,C01,,,,,,,,,,,,,
5831,000601-00-0728,C09,C04,C02,,,,,,,,,,,,,
5832,000601-00-0738,C09,C01,,,,,,,,,,,,,,
5833,000601-00-0744,C09,C05,C15,C13,C14,C11,,,,,,,,,,
5834,000601-00-0780,C09,C12,C06,C01,C07,,,,,,,,,,,
5835,000601-00-0830,C09,C13,C02,C01,,,,,,,,,,,,
5836,000601-00-0878,C09,C12,C06,C04,C11,C01,C05,C02,C15,C07,C08,C16,C14,C10,C13,
5837,000601-00-0896,C09,C02,C12,C01,C05,C11,,,,,,,,,,
5838,000601-00-0921,C09,C01,C02,C11,,,,,,,,,,,,
5839,000902-00-0031,C09,C12,C13,C01,C02,C11,C06,C05,,,,,,,,
5840,000902-00-0050,C09,,,,,,,,,,,,,,,
5841,000902-00-0063,C09,C13,C01,C12,C02,C11,,,,,,,,,,
5842,000902-00-0070,C09,C11,C13,C05,C01,C12,C16,,,,,,,,,
5843,000902-00-0116,C09,C01,C16,C12,,,,,,,,,,,,
5844,000902-00-0181,C09,C13,C05,C12,,,,,,,,,,,,
5845,000902-00-0202,C09,C02,,,,,,,,,,,,,,
5846,000902-00-0346,C09,C12,C01,C02,C13,,,,,,,,,,,
5847,000902-00-0386,C09,C11,C15,,,,,,,,,,,,,
5848,000902-00-0520,C09,C13,C01,,,,,,,,,,,,,
5849,000902-00-0521,C09,C13,C01,,,,,,,,,,,,,
5850,000902-00-0552,C09,C05,C12,C06,C01,C16,C02,C07,C13,C11,,,,,,
5851,000902-00-0566,C09,C01,,,,,,,,,,,,,,
5852,000902-00-0597,C09,C02,,,,,,,,,,,,,,
5853,000902-00-0604,C09,C05,C14,,,,,,,,,,,,,
5854,000902-00-0636,C09,C12,C14,C06,,,,,,,,,,,,
5855,000902-00-0638,C09,C14,,,,,,,,,,,,,,
5856,000902-00-0643,C09,C14,C12,C07,C15,,,,,,,,,,,
5857,000902-00-0654,C09,C14,,,,,,,,,,,,,,
5858,000902-00-0661,C09,C14,,,,,,,,,,,,,,
5859,000902-00-0679,C09,C13,C02,C01,C16,C07,C05,C06,,,,,,,,
5860,000902-00-0725,C09,C05,C06,C01,C02,,,,,,,,,,,
5861,000902-00-0752,C09,C04,C12,C01,C06,C13,C05,,,,,,,,,
5862,000902-00-0754,C09,,,,,,,,,,,,,,,
5863,000902-00-0780,C09,C11,C02,C13,C06,,,,,,,,,,,
5864,000902-00-0826,C09,C13,C11,C05,C16,C12,C01,C04,C06,,,,,,,
5865,000902-00-0887,C09,C02,C01,C05,,,,,,,,,,,,
5866,000902-00-0926,C09,C12,C06,C02,,,,,,,,,,,,
5867,000902-00-0935,C09,C01,C02,,,,,,,,,,,,,
5868,000902-00-0948,C09,C05,C14,C15,C01,C02,C13,C07,C16,,,,,,,
5869,000902-00-1044,C09,C16,C12,C01,,,,,,,,,,,,
5870,000902-00-1067,C09,C16,C12,C01,C13,C04,,,,,,,,,,
5871,000902-00-1080,C09,C01,C16,C05,C06,,,,,,,,,,,
5872,000902-00-1087,C09,C12,C05,C02,C01,,,,,,,,,,,
5873,000902-00-1092,C09,C05,C12,C01,C02,,,,,,,,,,,
5874,000902-00-1103,C09,C16,C12,C06,C01,,,,,,,,,,,
5875,000902-00-1105,C09,C16,C12,C06,C01,C07,C13,,,,,,,,,
5876,000902-00-1158,C09,C02,C01,C06,C12,C13,C05,C07,C16,,,,,,,
5877,000902-00-1185,C09,C01,C12,C06,C14,C05,,,,,,,,,,
5878,000902-00-1229,C09,C06,C02,C01,C16,C15,C14,,,,,,,,,
5879,000902-00-1232,C09,C06,C13,,,,,,,,,,,,,
5880,000902-00-1269,C09,C01,C06,,,,,,,,,,,,,
5881,000902-00-1274,C09,C16,C01,C06,C02,,,,,,,,,,,
5882,000902-00-1276,C09,C12,C02,C01,C16,,,,,,,,,,,
5883,000902-00-1317,C09,C02,C01,C05,C06,C13,C12,C16,,,,,,,,
5884,000902-00-1320,C09,C16,C01,C04,C02,C07,C13,C05,C12,,,,,,,
5885,000902-00-1322,C09,C02,C01,C05,C12,C07,C06,,,,,,,,,
5886,000902-00-1324,C09,C16,C04,C01,C02,C07,C13,,,,,,,,,
5887,000902-00-1327,C09,C01,C16,,,,,,,,,,,,,
5888,000902-00-0015,C09,C16,C12,C01,WI0,C02,C07,C14,C04,,,,,,,
5889,000902-00-0020,C09,C11,C02,C12,C05,,,,,,,,,,,
5890,000902-00-0023,C09,C14,,,,,,,,,,,,,,
5891,000801-00-0002,C09,C12,C04,,,,,,,,,,,,,
5892,000801-00-0005,C09,C01,C05,C13,C16,C12,C04,C11,,,,,,,,
5893,000801-00-0016,C09,C02,C05,,,,,,,,,,,,,
5894,000801-00-0018,C09,C01,C03,C12,C02,C13,,,,,,,,,,
5895,000801-00-0020,C09,,,,,,,,,,,,,,,
5896,000801-00-0029,C09,C01,C02,,,,,,,,,,,,,
5897,000801-00-0030,C09,C01,C12,C06,,,,,,,,,,,,
5898,000801-00-0042,C09,C01,C02,C05,C04,C13,,,,,,,,,,
5899,000801-00-0043,C09,C01,C02,C04,C05,C12,C13,,,,,,,,,
5900,000801-00-0061,C09,C13,C02,C05,,,,,,,,,,,,
5901,000801-00-0065,C09,C01,C05,C02,C12,,,,,,,,,,,
5902,000801-00-0067,C09,C05,C02,C16,C12,C04,C13,C01,,,,,,,,
5903,000801-00-0071,C09,C01,C02,C12,,,,,,,,,,,,
5904,000801-00-0074,C09,C01,C13,C15,C04,C12,C16,,,,,,,,,
5905,000801-00-0075,C09,C01,C02,C16,C05,C12,C13,,,,,,,,,
5906,000801-00-0081,C09,C12,C01,C16,C02,C04,,,,,,,,,,
5907,000801-00-0084,C09,C12,C02,C04,C16,C05,C13,C01,,,,,,,,
5908,000801-00-0089,C09,C01,,,,,,,,,,,,,,
5909,000801-00-0115,C09,,,,,,,,,,,,,,,
5910,000801-00-0132,C09,C04,C02,C01,C05,C16,C13,C12,,,,,,,,
5911,000801-00-0137,C09,C06,,,,,,,,,,,,,,
5912,000801-00-0154,C09,C05,C16,C12,C02,C04,C01,C13,,,,,,,,
5913,000801-00-0156,C09,C03,C01,C14,C06,,,,,,,,,,,
5914,000801-00-0163,C09,C04,C12,,,,,,,,,,,,,
5915,000801-00-0165,C09,C01,C16,C13,C12,C06,,,,,,,,,,
5916,000801-00-0169,C09,C02,C16,C01,C05,C13,C06,C12,C04,,,,,,,
5917,000801-00-0176,C09,C04,,,,,,,,,,,,,,
5918,000801-00-0178,C09,C02,C03,C13,C16,,,,,,,,,,,
5919,000801-00-0185,C09,C01,,,,,,,,,,,,,,
5920,000801-00-0187,C09,C11,C01,C02,C03,C05,,,,,,,,,,
5921,000801-00-0189,C09,C16,C01,C13,C02,,,,,,,,,,,
5922,000801-00-0195,C09,C12,C14,C04,,,,,,,,,,,,
5923,000801-00-0197,C09,C12,C05,,,,,,,,,,,,,
5924,000801-00-0204,C09,C12,C05,C15,,,,,,,,,,,,
5925,000801-00-0215,C09,C15,C13,C05,,,,,,,,,,,,
5926,000801-00-0219,C09,C13,C01,,,,,,,,,,,,,
5927,000801-00-0231,C09,C06,C13,C02,C01,C05,,,,,,,,,,
5928,000801-00-0236,C09,C05,C12,C01,C16,C02,,,,,,,,,,
5929,000801-00-0239,C09,C02,C12,C16,,,,,,,,,,,,
5930,000801-00-0247,C09,C01,C12,C05,,,,,,,,,,,,
5931,000801-00-0251,C09,C01,,,,,,,,,,,,,,
5932,000801-00-0254,C09,C01,C03,,,,,,,,,,,,,
5933,000801-00-0255,C09,C01,C16,C13,C07,C12,,,,,,,,,,
5934,000801-00-0257,C09,C16,C01,C13,C12,C02,C04,C05,,,,,,,,
5935,000801-00-0264,C09,C13,C02,C01,C16,C06,C11,,,,,,,,,
5936,000801-00-0268,C09,C12,C01,C02,C13,,,,,,,,,,,
5937,000801-00-0273,C09,C12,C13,C05,C16,C02,C07,,,,,,,,,
5938,000801-00-0275,C09,,,,,,,,,,,,,,,
5939,000801-00-0277,C09,,,,,,,,,,,,,,,
5940,000801-00-0292,C09,C01,C05,C13,C02,C04,C16,C11,C12,C15,C10,C06,C07,,,
5941,000801-00-0306,C09,C06,C02,C12,C11,C01,,,,,,,,,,
5942,000801-00-0311,C09,C02,C05,C13,C04,C16,C01,C12,,,,,,,,
5943,000801-00-0312,C09,,,,,,,,,,,,,,,
5944,000801-00-0342,C09,C02,C01,,,,,,,,,,,,,
5945,000801-00-0344,C09,C12,,,,,,,,,,,,,,
5946,000801-00-0353,C09,C12,C02,C01,,,,,,,,,,,,
5947,000801-00-0359,C09,C01,C02,,,,,,,,,,,,,
5948,000801-00-0361,C09,C02,C12,C06,C01,,,,,,,,,,,
5949,000801-00-0373,C09,C02,C16,C11,C03,C06,C15,,,,,,,,,
5950,000801-00-0375,C09,C12,C16,C05,C13,C01,C02,,,,,,,,,
5951,000801-00-0377,C09,C01,,,,,,,,,,,,,,
5952,000801-00-0390,C09,C12,C05,C02,C01,C13,C16,C04,,,,,,,,
5953,000801-00-0402,C09,C06,,,,,,,,,,,,,,
5954,000801-00-0405,C09,C06,,,,,,,,,,,,,,
5955,000801-00-0413,C09,C02,C01,C12,C14,C03,C05,C16,C11,C04,C15,C13,C06,C08,C07,C10
5956,000801-00-0417,C09,,,,,,,,,,,,,,,
5957,000801-00-0419,C09,C13,C15,,,,,,,,,,,,,
5958,000801-00-0424,C09,C01,C05,C03,,,,,,,,,,,,
5959,000801-00-0430,C09,C02,C12,C01,,,,,,,,,,,,
5960,000801-00-0436,C09,C01,C02,C03,,,,,,,,,,,,
5961,000801-00-0439,C09,,,,,,,,,,,,,,,
5962,000801-00-0440,C09,,,,,,,,,,,,,,,
5963,000801-00-0448,C09,C02,,,,,,,,,,,,,,
5964,000801-00-0450,C09,C02,C13,C01,C12,,,,,,,,,,,
5965,000801-00-0453,C09,C13,C01,C02,C03,C06,C05,C07,,,,,,,,
5966,000801-00-0460,C09,C16,C01,C12,C06,C13,,,,,,,,,,
5967,000801-00-0464,C09,C12,C11,C13,C14,C15,C16,C01,C02,C03,C04,C05,C06,C07,,
5968,000801-00-0473,C09,,,,,,,,,,,,,,,
5969,000801-00-0475,C09,C01,C13,,,,,,,,,,,,,
5970,000801-00-0005,C09,C12,WI0,,,,,,,,,,,,,
5971,000501-00-0134,C09,C01,C05,C13,C12,C04,C16,C02,,,,,,,,
5972,000501-00-0172,C09,C11,C15,C05,C01,C06,C13,C03,C14,,,,,,,
5973,000501-00-0197,C09,C12,C13,C15,C02,C01,C11,,,,,,,,,
5974,000501-00-0245,C09,,,,,,,,,,,,,,,
5975,000501-00-0305,C09,C12,C01,C16,C06,C05,C13,,,,,,,,,
5976,000501-00-0307,C09,C01,C12,C16,C06,C05,,,,,,,,,,
5977,000501-00-0331,C09,C01,C06,C13,C16,,,,,,,,,,,
5978,000501-00-0349,C09,C13,C11,C12,C14,C15,C16,C01,C02,C03,C04,C06,C07,C08,C10,
5979,000501-00-0399,C09,C12,,,,,,,,,,,,,,
5980,000501-00-0456,C09,C02,C01,C15,C07,C11,C13,,,,,,,,,
5981,000501-00-0509,C09,C10,C12,C13,C14,C15,C16,C01,C02,C03,C04,C05,C06,C07,C08,C11
5982,000501-00-0522,C09,,,,,,,,,,,,,,,
5983,000501-00-0553,C09,C13,C11,,,,,,,,,,,,,
5984,000501-00-0744,C09,C12,C02,C07,C16,C05,C13,C06,C01,,,,,,,
5985,000501-00-0857,C09,C01,C13,C02,C12,C11,,,,,,,,,,
5986,001103-00-0126,C09,C01,C05,,,,,,,,,,,,,
5987,001103-00-0130,C09,C02,C05,C12,C13,C16,C11,C01,,,,,,,,
5988,001103-00-0293,C09,C12,C02,C13,C01,C06,C16,C07,C15,C05,C04,C14,C11,C08,,
5989,001103-00-0480,C09,C05,C02,C01,C07,C08,C10,C12,C13,C14,C15,C11,C06,C04,C16,C03
5990,001103-00-0589,C09,C03,,,,,,,,,,,,,,
5991,001103-00-0617,C09,C05,C13,C06,C12,C01,,,,,,,,,,
