,ID,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice,19th Choice,20th Choice,21st Choice,22nd Choice,23rd Choice,24th Choice,25th Choice
7071,"000302-00-0400,10009,001,1)",C09,C12,C14,,,,,,,,,,,,,,,,,,,,,,
7072,"000302-00-0403,10006,001,1)",C25,C24,C14,,,,,,,,,,,,,,,,,,,,,,
7073,"000302-00-0405,10005,001,1)",C09,C22,C04,C05,C02,,,,,,,,,,,,,,,,,,,,
7074,"000302-00-0406,10007,001,1)",C05,C18,C03,C21,C16,,,,,,,,,,,,,,,,,,,,
7075,"000302-00-0408,10004,001,1)",C09,C08,C05,C16,C18,C19,C20,C21,,,,,,,,,,,,,,,,,
7076,"000302-00-0410,10003,001,1)",C18,C01,C09,C16,C15,C03,C10,,,,,,,,,,,,,,,,,,
7077,"000302-00-0413,10013,001,1)",C24,C19,C21,C02,C03,,,,,,,,,,,,,,,,,,,,
7078,"000302-00-0415,10001,001,1)",C20,C08,C03,C19,C01,,,,,,,,,,,,,,,,,,,,
7079,"000302-00-0417,10014,001,1)",C21,C17,C03,C01,C19,C18,C05,,,,,,,,,,,,,,,,,,
7080,"000302-00-0419,10021,001,1)",C02,C09,C21,C18,C10,C25,C24,C23,C22,C04,C06,,,,,,,,,,,,,,
7081,"000302-00-0420,10010,001,1)",C20,C11,C19,C03,C05,C08,C15,C17,C22,,,,,,,,,,,,,,,,
7082,"000302-00-0423,10020,001,1)",C09,C04,C03,C19,C16,,,,,,,,,,,,,,,,,,,,
7083,"000302-00-0425,10019,001,1)",C03,C21,C05,C16,C18,C13,,,,,,,,,,,,,,,,,,,
7084,"000302-00-0427,10018,001,1)",C09,C12,C15,,,,,,,,,,,,,,,,,,,,,,
7085,"000302-00-0428,10015,001,1)",C02,C05,C10,C09,C24,C22,C25,,,,,,,,,,,,,,,,,,
7086,"000302-00-0430,10023,001,1)",C09,C04,C02,,,,,,,,,,,,,,,,,,,,,,
7087,"000302-00-0431,10022,001,1)",C09,C02,C15,,,,,,,,,,,,,,,,,,,,,,
7088,"000302-00-0433,10024,001,1)",C20,C03,C22,C18,C05,,,,,,,,,,,,,,,,,,,,
7089,"000302-00-0436,10017,001,1)",C18,C01,C20,C10,C21,,,,,,,,,,,,,,,,,,,,
7090,"000302-00-0437,10008,001,1)",C18,C16,C01,C20,,,,,,,,,,,,,,,,,,,,,
7091,"000302-00-0439,10000,001,1)",C20,C21,C22,C03,C18,C06,C08,C10,C13,C16,C15,,,,,,,,,,,,,,
7092,"000302-00-0440,10016,001,1)",C25,C21,C20,C19,C02,C03,C15,C23,C18,,,,,,,,,,,,,,,,
7093,"000302-00-0443,10011,001,1)",C03,C08,C05,C20,,,,,,,,,,,,,,,,,,,,,
7094,"000302-00-0444,10009,001,1)",C03,C20,C18,C21,C16,C19,C08,,,,,,,,,,,,,,,,,,
7095,"000302-00-0446,10010,001,1)",C01,C03,C18,C16,,,,,,,,,,,,,,,,,,,,,
7096,"000302-00-0448,10007,001,1)",C21,C02,C19,C09,C03,C17,C05,,,,,,,,,,,,,,,,,,
7097,"000302-00-0450,10001,001,1)",C21,C18,,,,,,,,,,,,,,,,,,,,,,,
7098,"000302-00-0452,10005,001,1)",C10,C19,C21,C01,C03,C05,C09,,,,,,,,,,,,,,,,,,
7099,"000302-00-0454,10004,001,1)",C03,C07,C20,,,,,,,,,,,,,,,,,,,,,,
7100,"000302-00-0457,10002,001,1)",C01,,,,,,,,,,,,,,,,,,,,,,,,
7101,"000302-00-0458,10012,001,1)",C09,C21,C03,C05,C20,C18,C16,C13,C14,C15,C17,C19,C22,C23,C24,C25,C01,C02,C04,C06,C07,C08,C10,C11,C12
7102,"000302-00-0460,10003,001,1)",C03,C20,C21,C08,C17,C09,,,,,,,,,,,,,,,,,,,
7103,"000302-00-0462,10001,001,1)",C01,C20,C21,C16,C08,C06,C03,,,,,,,,,,,,,,,,,,
7104,"000302-00-0463,10014,001,1)",C18,C10,C08,C05,C21,C16,,,,,,,,,,,,,,,,,,,
7105,"000302-00-0465,10013,001,1)",C01,C18,C03,C20,C16,C05,C08,C21,C23,C14,C15,,,,,,,,,,,,,,
7106,"000302-00-0467,10020,001,1)",C20,C22,C10,,,,,,,,,,,,,,,,,,,,,,
7107,"000302-00-0470,10006,001,1)",C19,C20,C12,,,,,,,,,,,,,,,,,,,,,,
7108,"000302-00-0471,10017,001,1)",C19,C21,C03,,,,,,,,,,,,,,,,,,,,,,
7109,"000302-00-0473,10008,001,1)",C20,,,,,,,,,,,,,,,,,,,,,,,,
7110,"000302-00-0475,10018,001,1)",C21,C09,C12,C16,,,,,,,,,,,,,,,,,,,,,
7111,"000302-00-0478,10016,001,1)",C21,C03,C19,C17,C22,C18,C07,C08,C16,C23,C24,C25,C01,C02,C04,C05,C06,C09,C10,C11,C12,C13,C14,C15,
7112,"000302-00-0480,10023,001,1)",C03,C21,C20,C16,C18,C11,C14,C05,C01,,,,,,,,,,,,,,,,
7113,"000302-00-0481,10022,001,1)",C22,C03,C21,C20,C18,C16,C01,C09,C12,,,,,,,,,,,,,,,,
7114,"000302-00-0483,10011,001,1)",C18,C16,C03,C20,,,,,,,,,,,,,,,,,,,,,
7115,"000302-00-0485,10002,001,1)",C18,C22,C10,C03,C05,C17,C21,C02,C20,C11,C08,,,,,,,,,,,,,,
7116,"000302-00-0487,10021,001,1)",C22,C03,C12,C15,C17,C01,C02,C04,C06,C07,C24,C25,C23,C09,C10,C11,C13,C14,C21,C20,C18,C16,C19,C05,C08
7117,"000302-00-0491,10009,001,1)",C10,C18,C02,C03,C08,C09,C16,C15,C14,C13,C12,C11,C20,C21,C22,C23,C24,C25,C01,C04,C05,C06,C07,C19,C17
7118,"000302-00-0492,10000,001,1)",C03,C10,C17,C18,C20,C23,C16,C04,,,,,,,,,,,,,,,,,
7119,"000302-00-0494,10012,001,1)",C03,C08,C21,C20,C19,C18,C16,C17,,,,,,,,,,,,,,,,,
7120,"000302-00-0495,10013,001,1)",C18,C23,C03,,,,,,,,,,,,,,,,,,,,,,
7121,"000302-00-0498,10017,001,1)",C07,C06,C15,C23,C04,C03,C02,C01,C25,C24,C22,C09,C10,C11,C12,C13,C14,C16,C05,C21,C20,C19,C18,,
7122,"000302-00-0500,10001,001,1)",C21,C03,C04,C01,C05,C19,,,,,,,,,,,,,,,,,,,
7123,"000302-00-0502,10015,001,1)",C11,C17,C02,C03,C04,C06,C09,C05,C21,C15,,,,,,,,,,,,,,,
7124,"000302-00-0505,10014,001,1)",C03,C02,C09,C11,C15,C17,C21,C06,C05,,,,,,,,,,,,,,,,
7125,"000302-00-0507,10016,001,1)",C18,C01,C10,C17,C25,C14,C20,C22,C19,,,,,,,,,,,,,,,,
7126,"000302-00-0509,10019,001,1)",C20,C18,C03,C19,C05,C21,,,,,,,,,,,,,,,,,,,
7127,"000302-00-0510,10020,001,1)",C18,C16,C01,C21,C15,C05,C22,C08,C19,C24,C10,C11,C13,C03,C04,C14,,,,,,,,,
7128,"000302-00-0512,10022,001,1)",C21,C03,C19,C01,C04,C08,,,,,,,,,,,,,,,,,,,
7129,"000302-00-0513,10024,001,1)",C08,C05,C03,C18,,,,,,,,,,,,,,,,,,,,,
7130,"000302-00-0515,10024,001,1)",C08,C21,,,,,,,,,,,,,,,,,,,,,,,
7131,"000302-00-0517,10023,001,1)",C03,C18,C19,C04,C06,,,,,,,,,,,,,,,,,,,,
7132,"000302-00-0519,10021,001,1)",C09,C04,C23,C02,C21,C12,C22,C20,C18,C16,C08,C05,C03,C25,C15,,,,,,,,,,
7133,"000302-00-0522,10002,001,1)",C22,C21,C08,C20,C03,,,,,,,,,,,,,,,,,,,,
7134,"000302-00-0525,10000,001,1)",C03,C21,C23,C07,C05,C01,C09,C04,C02,C16,C18,C17,C08,,,,,,,,,,,,
7135,"000302-00-0526,10009,001,1)",C18,C19,C03,C04,C06,C16,C20,C05,C08,,,,,,,,,,,,,,,,
7136,"000302-00-0527,10018,001,1)",C21,C05,C18,C09,C16,C01,C03,C20,C06,,,,,,,,,,,,,,,,
7137,"000302-00-0529,10001,001,1)",C02,C23,C18,C19,C20,C03,C21,C16,C12,C05,C08,C09,C14,C04,C22,C25,C07,C06,C13,C24,C01,C17,,,
7138,"000302-00-0531,10008,001,1)",C21,C05,C03,C16,,,,,,,,,,,,,,,,,,,,,
7139,"000302-00-0533,10003,001,1)",C20,C21,C16,C03,C18,C08,C05,C06,C09,,,,,,,,,,,,,,,,
7140,"000302-00-0535,10002,001,1)",C10,C08,C03,C16,C18,,,,,,,,,,,,,,,,,,,,
7141,"000302-00-0537,10011,001,1)",C02,C21,C05,C23,C09,C24,C11,,,,,,,,,,,,,,,,,,
7142,"000303-00-0003,10002,001,1)",C19,C21,C01,,,,,,,,,,,,,,,,,,,,,,
7143,"000303-00-0004,10006,001,1)",C01,,,,,,,,,,,,,,,,,,,,,,,,
7144,"000303-00-0006,10001,001,1)",C18,C16,C21,C01,C20,C05,C03,C08,,,,,,,,,,,,,,,,,
7145,"000303-00-0007,10007,001,1)",C19,C18,C23,C21,,,,,,,,,,,,,,,,,,,,,
7146,"000303-00-0009,10004,001,1)",C01,C16,C03,C18,C08,C19,C17,,,,,,,,,,,,,,,,,,
7147,"000303-00-0012,10008,001,1)",C21,C18,C15,C03,C08,,,,,,,,,,,,,,,,,,,,
7148,"000303-00-0014,10009,001,1)",C03,C01,C16,C18,,,,,,,,,,,,,,,,,,,,,
7149,"000303-00-0016,10010,001,1)",C03,C21,C18,C08,C05,C20,C16,C04,C25,C23,,,,,,,,,,,,,,,
7150,"000303-00-0017,10011,001,1)",C03,C02,C17,C09,C08,C21,C15,C19,C22,C24,C12,C13,C14,C25,C01,C04,C05,C06,C07,C10,C11,C23,C18,C16,
7151,"000303-00-0020,10013,001,1)",C01,C16,C18,,,,,,,,,,,,,,,,,,,,,,
7152,"000303-00-0022,10012,001,1)",C01,C22,C16,C23,C17,C09,C10,C04,C05,,,,,,,,,,,,,,,,
7153,"000303-00-0023,10016,001,1)",C18,C20,C16,,,,,,,,,,,,,,,,,,,,,,
7154,"000303-00-0025,10018,001,1)",C18,C24,,,,,,,,,,,,,,,,,,,,,,,
7155,"000303-00-0028,10017,001,1)",C18,C16,C21,C09,,,,,,,,,,,,,,,,,,,,,
7156,"000303-00-0029,10024,001,1)",C03,C18,C16,C20,,,,,,,,,,,,,,,,,,,,,
7157,"000303-00-0031,10000,001,1)",C21,C03,C10,C17,C09,C01,,,,,,,,,,,,,,,,,,,
7158,"000303-00-0033,10019,001,1)",C18,C01,C16,C21,,,,,,,,,,,,,,,,,,,,,
7159,"000303-00-0035,10001,001,1)",C16,C20,C18,C01,,,,,,,,,,,,,,,,,,,,,
7160,"000303-00-0038,10002,001,1)",C16,C01,,,,,,,,,,,,,,,,,,,,,,,
7161,"000303-00-0039,10004,001,1)",C02,C21,C01,C09,C24,C10,,,,,,,,,,,,,,,,,,,
7162,"000303-00-0041,10005,001,1)",C02,C01,C21,C18,,,,,,,,,,,,,,,,,,,,,
7163,"000303-00-0044,10006,001,1)",C18,C01,C21,C17,C03,C08,,,,,,,,,,,,,,,,,,,
7164,"000303-00-0045,10007,001,1)",C03,C01,C19,C23,C17,C18,,,,,,,,,,,,,,,,,,,
7165,"000303-00-0047,10008,001,1)",C20,,,,,,,,,,,,,,,,,,,,,,,,
7166,"000303-00-0049,10009,001,1)",C21,C17,C18,C03,C23,C12,C10,C05,C01,C20,,,,,,,,,,,,,,,
7167,"000303-00-0052,10010,001,1)",C10,C03,C19,,,,,,,,,,,,,,,,,,,,,,
7168,"000303-00-0054,10011,001,1)",C21,C05,C09,C12,C22,C04,C19,C01,C02,,,,,,,,,,,,,,,,
7169,"000303-00-0056,10012,001,1)",C21,C05,C09,C12,C22,C04,C19,,,,,,,,,,,,,,,,,,
7170,"000303-00-0058,10014,001,1)",C03,C09,C18,C12,C19,,,,,,,,,,,,,,,,,,,,
7171,"000303-00-0061,10015,001,1)",C19,C09,C20,C18,C03,C21,,,,,,,,,,,,,,,,,,,
7172,"000303-00-0062,10016,001,1)",C01,C03,C18,C15,C06,C23,C21,C04,C09,C13,,,,,,,,,,,,,,,
7173,"000303-00-0065,10018,001,1)",C01,C19,C16,C03,,,,,,,,,,,,,,,,,,,,,
7174,"000303-00-0066,10019,001,1)",C21,C01,C03,C18,C23,C02,,,,,,,,,,,,,,,,,,,
7175,"000303-00-0069,10020,001,1)",C21,C01,C03,C18,C02,C19,,,,,,,,,,,,,,,,,,,
7176,"000303-00-0070,10000,001,1)",C02,C15,C21,C17,C23,,,,,,,,,,,,,,,,,,,,
7177,"000303-00-0073,10024,001,1)",C02,C15,C21,C17,C23,C09,C04,C25,C24,,,,,,,,,,,,,,,,
7178,"000303-00-0074,10017,001,1)",C03,C10,C17,C18,C04,C16,C20,C23,C05,C01,C12,C06,C09,C22,C11,,,,,,,,,,
7179,"000303-00-0077,10021,001,1)",C21,C07,C05,C03,C08,C20,C06,C09,C17,C19,,,,,,,,,,,,,,,
7180,"000303-00-0080,10001,001,1)",C21,C11,C03,C05,,,,,,,,,,,,,,,,,,,,,
7181,"000303-00-0081,10003,001,1)",C01,C19,C21,C06,,,,,,,,,,,,,,,,,,,,,
7182,"000303-00-0082,10002,001,1)",C08,C20,C21,C23,,,,,,,,,,,,,,,,,,,,,
7183,"000303-00-0084,10023,001,1)",C21,C12,C19,C16,C03,,,,,,,,,,,,,,,,,,,,
7184,"000303-00-0086,10004,001,1)",C10,C18,C17,C01,C23,C04,,,,,,,,,,,,,,,,,,,
7185,"000303-00-0088,10005,001,1)",C21,C02,C17,,,,,,,,,,,,,,,,,,,,,,
7186,"000303-00-0090,10006,001,1)",C10,C18,C16,C01,C17,C03,C20,C08,,,,,,,,,,,,,,,,,
7187,"000303-00-0092,10007,001,1)",C21,C09,C03,C05,C20,C18,C01,,,,,,,,,,,,,,,,,,
7188,"000303-00-0094,10008,001,1)",C01,,,,,,,,,,,,,,,,,,,,,,,,
7189,"000303-00-0096,10009,001,1)",C01,,,,,,,,,,,,,,,,,,,,,,,,
7190,"000303-00-0098,10011,001,1)",C19,C25,C04,C09,C15,C12,,,,,,,,,,,,,,,,,,,
7191,"000303-00-0100,10012,001,1)",C18,C16,,,,,,,,,,,,,,,,,,,,,,,
7192,"000303-00-0104,10013,001,1)",C21,C02,C05,C19,C09,C03,C18,,,,,,,,,,,,,,,,,,
7193,"000303-00-0105,10016,001,1)",C03,C18,C23,C06,C17,C19,C22,C24,C25,C01,C02,C04,C07,C10,C09,C11,C12,C13,C14,C15,,,,,
7194,"000303-00-0107,10014,001,1)",C02,C21,C09,,,,,,,,,,,,,,,,,,,,,,
7195,"000303-00-0109,10017,001,1)",C23,C10,C09,C18,C01,C04,C16,C05,C21,,,,,,,,,,,,,,,,
7196,"000303-00-0111,10018,001,1)",C09,C18,C03,C22,C16,,,,,,,,,,,,,,,,,,,,
7197,"000303-00-0112,10020,001,1)",C01,C18,C25,C23,C21,C09,,,,,,,,,,,,,,,,,,,
7198,"000303-00-0114,10019,001,1)",C03,C18,C21,C20,C11,C08,C05,C16,C22,C04,,,,,,,,,,,,,,,
7199,"000303-00-0117,10023,001,1)",C20,C18,C10,,,,,,,,,,,,,,,,,,,,,,
7200,"000303-00-0119,10021,001,1)",C21,C16,C03,C09,C04,,,,,,,,,,,,,,,,,,,,
7201,"000303-00-0121,10020,001,1)",C21,C11,C03,C05,C20,C23,,,,,,,,,,,,,,,,,,,
7202,"000303-00-0122,10021,001,1)",C22,,,,,,,,,,,,,,,,,,,,,,,,
7203,"000303-00-0124,10022,001,1)",C21,C01,C02,C09,C10,C23,C05,C17,C12,C24,C18,,,,,,,,,,,,,,
7204,"000303-00-0126,10022,001,1)",C21,C18,C03,C19,,,,,,,,,,,,,,,,,,,,,
7205,"000303-00-0128,10000,001,1)",C19,C01,C21,,,,,,,,,,,,,,,,,,,,,,
7206,"000303-00-0130,10002,001,1)",C08,C17,C02,C09,C04,C01,C10,C03,C15,,,,,,,,,,,,,,,,
7207,"000303-00-0133,10003,001,1)",C21,,,,,,,,,,,,,,,,,,,,,,,,
7208,"000303-00-0134,10004,001,1)",C19,C02,C21,C11,C08,C12,C07,C10,C04,,,,,,,,,,,,,,,,
7209,"000303-00-0136,10005,001,1)",C06,C08,C09,,,,,,,,,,,,,,,,,,,,,,
7210,"000303-00-0138,10006,001,1)",C20,C21,C23,C01,,,,,,,,,,,,,,,,,,,,,
7211,"000303-00-0139,10008,001,1)",C15,C18,C21,C25,,,,,,,,,,,,,,,,,,,,,
7212,"000303-00-0142,10007,001,1)",C18,C16,C21,C01,C11,C24,,,,,,,,,,,,,,,,,,,
7213,"000303-00-0143,10010,001,1)",C16,,,,,,,,,,,,,,,,,,,,,,,,
7214,"000303-00-0145,10011,001,1)",C16,C18,,,,,,,,,,,,,,,,,,,,,,,
7215,"000303-00-0147,10009,001,1)",C16,C18,C01,,,,,,,,,,,,,,,,,,,,,,
7216,"000303-00-0149,10012,001,1)",C10,C01,C21,C20,C18,C16,C03,C08,C05,,,,,,,,,,,,,,,,
7217,"000303-00-0151,10014,001,1)",C10,,,,,,,,,,,,,,,,,,,,,,,,
7218,"000303-00-0154,10017,001,1)",C16,C18,C01,,,,,,,,,,,,,,,,,,,,,,
7219,"000303-00-0156,10018,001,1)",C10,C18,C23,C16,C20,C24,C05,,,,,,,,,,,,,,,,,,
7220,"000303-00-0158,10020,001,1)",C02,C05,C23,C17,C21,,,,,,,,,,,,,,,,,,,,
7221,"000303-00-0160,10022,001,1)",C18,C16,C21,C20,C19,C17,C15,C14,C13,C23,C24,C25,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C22
7222,"000303-00-0161,10023,001,1)",C03,C09,C18,C19,C22,C24,C04,C12,C17,,,,,,,,,,,,,,,,
7223,"000303-00-0163,10024,001,1)",C01,C18,C16,C20,C21,C17,C08,,,,,,,,,,,,,,,,,,
7224,"000303-00-0165,10000,001,1)",C19,C03,C04,C21,C18,,,,,,,,,,,,,,,,,,,,
7225,"000303-00-0167,10024,001,1)",C08,C18,C21,C20,C17,C22,C05,C16,C07,,,,,,,,,,,,,,,,
7226,"000303-00-0169,10015,001,1)",C03,C16,C18,C20,C21,C08,C05,C04,C06,,,,,,,,,,,,,,,,
7227,"000303-00-0172,10002,001,1)",C10,C09,C22,C02,C19,,,,,,,,,,,,,,,,,,,,
7228,"000303-00-0174,10004,001,1)",C09,C02,C21,C10,,,,,,,,,,,,,,,,,,,,,
7229,"000303-00-0176,10007,001,1)",C21,C02,C03,,,,,,,,,,,,,,,,,,,,,,
7230,"000303-00-0177,10008,001,1)",C09,C10,C06,C11,C12,C16,,,,,,,,,,,,,,,,,,,
7231,"000303-00-0179,10006,001,1)",C01,C18,C16,C21,C17,C09,,,,,,,,,,,,,,,,,,,
7232,"000303-00-0181,10009,001,1)",C01,C23,C10,C03,C21,C05,C19,,,,,,,,,,,,,,,,,,
7233,"000303-00-0185,10011,001,1)",C09,C02,C21,C17,C05,C22,C19,C23,C10,C18,C03,,,,,,,,,,,,,,
7234,"000303-00-0187,10010,001,1)",C18,C16,C20,C11,C15,C21,C12,C13,C14,,,,,,,,,,,,,,,,
7235,"000303-00-0189,10014,001,1)",C01,C18,C16,C20,C08,,,,,,,,,,,,,,,,,,,,
7236,"000303-00-0190,10012,001,1)",C01,,,,,,,,,,,,,,,,,,,,,,,,
7237,"000303-00-0192,10013,001,1)",C01,,,,,,,,,,,,,,,,,,,,,,,,
7238,"000303-00-0193,10015,001,1)",C02,C21,C19,C23,C10,C03,C09,,,,,,,,,,,,,,,,,,
7239,"000303-00-0196,10017,001,1)",C21,C10,C01,C23,C19,C04,C03,C17,C18,,,,,,,,,,,,,,,,
7240,"000303-00-0199,10000,001,1)",C21,C01,C02,C09,C10,C12,C05,,,,,,,,,,,,,,,,,,
7241,"000303-00-0202,10019,001,1)",C09,C04,C02,C03,C22,C06,C07,C23,C10,C17,,,,,,,,,,,,,,,
7242,"000303-00-0204,10021,001,1)",C16,C21,C18,C01,C08,C11,C04,C15,,,,,,,,,,,,,,,,,
7243,"000303-00-0205,10022,001,1)",C01,,,,,,,,,,,,,,,,,,,,,,,,
7244,"000303-00-0207,10020,001,1)",C16,C18,C01,,,,,,,,,,,,,,,,,,,,,,
7245,"000303-00-0208,10001,001,1)",C03,,,,,,,,,,,,,,,,,,,,,,,,
7246,"000303-00-0210,10002,001,1)",C19,C09,C05,C02,C21,,,,,,,,,,,,,,,,,,,,
7247,"000303-00-0211,10000,001,1)",C10,C18,C17,C21,C23,C04,C25,C19,C09,C12,C03,C01,C08,C05,,,,,,,,,,,
7248,"000303-00-0214,10004,001,1)",C09,C17,C21,C03,,,,,,,,,,,,,,,,,,,,,
7249,"000303-00-0216,10023,001,1)",C12,C09,C21,,,,,,,,,,,,,,,,,,,,,,
7250,"000303-00-0218,10003,001,1)",C11,C21,C24,C08,C06,C20,C18,C22,C19,,,,,,,,,,,,,,,,
7251,"000303-00-0220,10008,001,1)",C12,C09,C21,,,,,,,,,,,,,,,,,,,,,,
7252,"000303-00-0221,10007,001,1)",C19,C21,C10,,,,,,,,,,,,,,,,,,,,,,
7253,"000303-00-0223,10005,001,1)",C03,C06,C04,C19,C21,,,,,,,,,,,,,,,,,,,,
7254,"000303-00-0227,10000,001,1)",C08,C18,C20,,,,,,,,,,,,,,,,,,,,,,
7255,"000303-00-0230,10006,001,1)",C23,C10,C22,C01,C02,C21,C03,C05,C18,C16,,,,,,,,,,,,,,,
7256,"000303-00-0232,10009,001,1)",C01,C02,C16,C21,,,,,,,,,,,,,,,,,,,,,
7257,"000303-00-0234,10000,001,1)",C20,C03,C08,,,,,,,,,,,,,,,,,,,,,,
7258,"000303-00-0235,10000,001,1)",C01,C09,C02,C04,C06,C07,C11,C10,C15,C12,C13,C14,C17,C19,C22,C23,C24,C25,,,,,,,
7259,"000303-00-0237,10000,001,1)",C03,C18,C08,,,,,,,,,,,,,,,,,,,,,,
7260,"000303-00-0238,10000,001,1)",C08,C10,C20,,,,,,,,,,,,,,,,,,,,,,
7261,"000303-00-0240,10000,001,1)",C01,C03,C05,C08,C20,,,,,,,,,,,,,,,,,,,,
7262,"000303-00-0242,10000,001,1)",C18,C16,C10,C01,,,,,,,,,,,,,,,,,,,,,
7263,"000303-00-0243,10010,001,1)",C03,C09,C02,C22,C16,C20,C18,C05,C01,C21,,,,,,,,,,,,,,,
7264,"000303-00-0246,10013,001,1)",C18,,,,,,,,,,,,,,,,,,,,,,,,
7265,"000303-00-0247,10011,001,1)",C16,C01,C10,C08,C21,C20,,,,,,,,,,,,,,,,,,,
7266,"000303-00-0248,10014,001,1)",C03,,,,,,,,,,,,,,,,,,,,,,,,
7267,"000303-00-0250,10012,001,1)",C16,C01,C02,C10,C03,,,,,,,,,,,,,,,,,,,,
7268,"000303-00-0251,10015,001,1)",C03,C18,C21,C10,C20,C01,C16,C05,,,,,,,,,,,,,,,,,
7269,"000303-00-0253,10000,001,1)",C11,C17,C20,C18,C21,C10,C08,C01,C03,,,,,,,,,,,,,,,,
7270,"000303-00-0255,10000,001,1)",C01,C04,C06,,,,,,,,,,,,,,,,,,,,,,
7271,"000303-00-0258,10000,001,1)",C16,C05,C03,,,,,,,,,,,,,,,,,,,,,,
7272,"000303-00-0259,10000,001,1)",C20,C21,C08,C06,C10,C16,C17,C18,C24,C19,C05,C03,C02,C01,C04,C09,C13,C14,C15,C11,C07,C25,C22,C23,C12
7273,"000303-00-0261,10000,001,1)",C16,C20,C08,,,,,,,,,,,,,,,,,,,,,,
7274,"000303-00-0263,10000,001,1)",C20,C16,C18,C03,C21,C08,C05,C19,C15,,,,,,,,,,,,,,,,
7275,"000303-00-0265,10000,001,1)",C01,C21,C17,C19,C05,C18,C04,C09,C24,,,,,,,,,,,,,,,,
7276,"000303-00-0266,10000,001,1)",C16,,,,,,,,,,,,,,,,,,,,,,,,
7277,"000303-00-0267,10000,001,1)",C01,C10,C18,C21,C05,C02,,,,,,,,,,,,,,,,,,,
7278,"000303-00-0269,10000,001,1)",C08,C21,,,,,,,,,,,,,,,,,,,,,,,
7279,"000303-00-0271,10000,001,1)",C08,C01,C20,C21,,,,,,,,,,,,,,,,,,,,,
7280,"000303-00-0272,10000,001,1)",C03,C23,C19,C18,C21,C15,C25,C04,C20,,,,,,,,,,,,,,,,
7281,"000303-00-0273,10016,001,1)",C17,C18,C20,C05,C16,C21,C03,C08,C10,C23,C24,C25,C19,C22,C02,C04,C06,C09,C01,C11,C12,C13,C14,C15,
7282,"000303-00-0276,10018,001,1)",C22,C07,C04,C02,C03,C01,C06,C09,C05,C11,C17,C21,C08,C12,C19,C13,C14,C20,C18,C25,C16,C24,C23,,
7283,"000303-00-0278,10020,001,1)",C16,C18,C10,,,,,,,,,,,,,,,,,,,,,,
7284,"000303-00-0279,10021,001,1)",C21,C18,C16,,,,,,,,,,,,,,,,,,,,,,
7285,"000303-00-0281,10019,001,1)",C09,C21,C01,C19,C08,C10,C05,C20,C03,C12,,,,,,,,,,,,,,,
7286,"000303-00-0282,10022,001,1)",C21,C12,C03,C07,C18,,,,,,,,,,,,,,,,,,,,
7287,"000303-00-0284,10023,001,1)",C18,C08,C16,C20,,,,,,,,,,,,,,,,,,,,,
7288,"000303-00-0287,10024,001,1)",C01,C18,C16,,,,,,,,,,,,,,,,,,,,,,
7289,"000303-00-0288,10002,001,1)",C17,C09,C20,C21,C19,C08,C03,C11,C23,,,,,,,,,,,,,,,,
7290,"000303-00-0290,10001,001,1)",C09,C21,C17,C03,,,,,,,,,,,,,,,,,,,,,
7291,"000303-00-0292,10000,001,1)",C09,C04,C02,,,,,,,,,,,,,,,,,,,,,,
7292,"000303-00-0293,10004,001,1)",C03,C10,C17,C18,C04,C05,C08,C21,,,,,,,,,,,,,,,,,
7293,"000303-00-0296,10010,001,1)",C16,C20,C18,C21,C05,C03,C08,,,,,,,,,,,,,,,,,,
7294,"000303-00-0298,10009,001,1)",C06,C19,C21,C03,,,,,,,,,,,,,,,,,,,,,
7295,"000303-00-0299,10007,001,1)",C09,C01,C21,C05,C17,C18,C10,C03,C02,,,,,,,,,,,,,,,,
7296,"000303-00-0301,10008,001,1)",C09,C17,C21,C10,C01,C05,C18,,,,,,,,,,,,,,,,,,
7297,"000303-00-0303,10011,001,1)",C02,C01,C04,C21,C23,,,,,,,,,,,,,,,,,,,,
7298,"000303-00-0306,10012,001,1)",C01,,,,,,,,,,,,,,,,,,,,,,,,
7299,"000303-00-0308,10005,001,1)",C20,C03,C16,C01,C02,C08,C05,C17,,,,,,,,,,,,,,,,,
7300,"000303-00-0310,10013,001,1)",C18,,,,,,,,,,,,,,,,,,,,,,,,
7301,"000303-00-0311,10014,001,1)",C21,,,,,,,,,,,,,,,,,,,,,,,,
7302,"000303-00-0313,10015,001,1)",C01,,,,,,,,,,,,,,,,,,,,,,,,
7303,"000303-00-0316,10018,001,1)",C01,C18,C16,C21,C03,C20,,,,,,,,,,,,,,,,,,,
7304,"000303-00-0317,10019,001,1)",C02,C09,C04,C03,C21,C23,C10,C08,C20,C17,C18,,,,,,,,,,,,,,
7305,"000303-00-0319,10023,001,1)",C09,C02,C22,,,,,,,,,,,,,,,,,,,,,,
7306,"000303-00-0322,10020,001,1)",C02,C01,C09,C21,C05,C11,C22,C23,C12,C13,C14,C19,,,,,,,,,,,,,
7307,"000303-00-0324,10022,001,1)",C03,C01,C16,,,,,,,,,,,,,,,,,,,,,,
7308,"000303-00-0325,10000,001,1)",C02,C21,C24,C03,C09,,,,,,,,,,,,,,,,,,,,
